time_ms,cwnd_mss,ssthresh_mss,reno_state,event
8091,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8142,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8192,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8242,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8294,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8398,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8427,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8470,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8521,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8579,16,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8673,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8723,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8775,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8854,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8878,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8933,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
8979,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9029,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9079,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9130,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9181,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9231,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9282,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9333,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9384,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9434,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9489,17,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9739,11,8,FAST_RECOVERY,TCP_CONGESTION into FAST_RECOVERY
9760,8,8,CONGESTION_AVOIDANCE,"cwnd >= recovery_point, change to TCP_RENO_CONGESTION_AVOIDANCE"
9760,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9790,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9840,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9892,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
9944,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10000,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10043,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10108,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10154,9,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10224,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10256,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10315,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10366,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10451,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10500,10,8,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10706,8,5,FAST_RECOVERY,TCP_CONGESTION into FAST_RECOVERY
10726,5,5,CONGESTION_AVOIDANCE,"cwnd >= recovery_point, change to TCP_RENO_CONGESTION_AVOIDANCE"
10726,5,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10756,5,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10807,5,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10858,5,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10908,6,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
10959,6,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11012,6,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11059,6,5,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11263,6,3,FAST_RECOVERY,TCP_CONGESTION into FAST_RECOVERY
11284,3,3,CONGESTION_AVOIDANCE,"cwnd >= recovery_point, change to TCP_RENO_CONGESTION_AVOIDANCE"
11284,3,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11314,3,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11363,4,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11414,4,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11464,4,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11519,4,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11567,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11617,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11669,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11720,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11771,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11821,5,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11873,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11923,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
11973,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12022,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12074,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12124,6,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12176,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12225,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12275,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12327,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12376,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12479,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12587,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12654,7,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12704,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12752,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
12821,8,3,CONGESTION_AVOIDANCE,receive ack in TCP_RENO_CONGESTION_AVOIDANCE
